id,session,category,office,name,url
1005551,2013,SENATE DISTRICTS,STATE SENATE 10,"CORBETT, ELLEN",/Campaign/Candidates/Detail.aspx?session=2013&id=1005551
1226645,2013,SENATE DISTRICTS,STATE SENATE 11,"LENO, MARK",/Campaign/Candidates/Detail.aspx?session=2013&id=1226645
1318121,2013,SENATE DISTRICTS,STATE SENATE 12,"CANNELLA, ANTHONY JOSEPH",/Campaign/Candidates/Detail.aspx?session=2013&id=1318121
1290757,2013,SENATE DISTRICTS,STATE SENATE 13,"HILL, JERRY A.",/Campaign/Candidates/Detail.aspx?session=2013&id=1290757
1294245,2013,SENATE DISTRICTS,STATE SENATE 14,"BERRYHILL, TOM",/Campaign/Candidates/Detail.aspx?session=2013&id=1294245
1251768,2013,SENATE DISTRICTS,STATE SENATE 15,"BEALL, JIM",/Campaign/Candidates/Detail.aspx?session=2013&id=1251768
1356182,2013,SENATE DISTRICTS,STATE SENATE 16,"VIDAK, JAMES ANDREW",/Campaign/Candidates/Detail.aspx?session=2013&id=1356182
1297947,2013,SENATE DISTRICTS,STATE SENATE 17,"MONNING, WILLIAM W.",/Campaign/Candidates/Detail.aspx?session=2013&id=1297947
1284988,2013,SENATE DISTRICTS,STATE SENATE 18,"FULLER, JEAN",/Campaign/Candidates/Detail.aspx?session=2013&id=1284988
1005197,2013,SENATE DISTRICTS,STATE SENATE 19,"JACKSON, HANNAH-BETH",/Campaign/Candidates/Detail.aspx?session=2013&id=1005197
1278243,2013,SENATE DISTRICTS,STATE SENATE 20,"PADILLA, ALEX",/Campaign/Candidates/Detail.aspx?session=2013&id=1278243
1295329,2013,SENATE DISTRICTS,STATE SENATE 21,"KNIGHT, STEVE",/Campaign/Candidates/Detail.aspx?session=2013&id=1295329
1263266,2013,SENATE DISTRICTS,STATE SENATE 22,"DE LEON, KEVIN",/Campaign/Candidates/Detail.aspx?session=2013&id=1263266
1266775,2013,SENATE DISTRICTS,STATE SENATE 24,"HERNANDEZ, EDWARD P.",/Campaign/Candidates/Detail.aspx?session=2013&id=1266775
1005704,2013,SENATE DISTRICTS,STATE SENATE 25,"LIU, CAROL",/Campaign/Candidates/Detail.aspx?session=2013&id=1005704
1307762,2013,SENATE DISTRICTS,STATE SENATE 26,"MITCHELL, HOLLY J.",/Campaign/Candidates/Detail.aspx?session=2013&id=1307762
1005757,2013,SENATE DISTRICTS,STATE SENATE 27,"PAVLEY, FRAN",/Campaign/Candidates/Detail.aspx?session=2013&id=1005757
1277958,2013,SENATE DISTRICTS,STATE SENATE 28,"LIEU, TED",/Campaign/Candidates/Detail.aspx?session=2013&id=1277958
1005380,2013,SENATE DISTRICTS,STATE SENATE 29,"HUFF, ROBERT 'BOB'",/Campaign/Candidates/Detail.aspx?session=2013&id=1005380
1235391,2013,SENATE DISTRICTS,STATE SENATE 30,"CALDERON, RONALD",/Campaign/Candidates/Detail.aspx?session=2013&id=1235391
