url,id,name,year
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=21,21,2010 GENERAL,2010
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=42,42,2009 SPECIAL ELECTION (STATE SENATE 26),2009
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=44,44,2009 SPECIAL RUNOFF (STATE SENATE 26),2009
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=45,45,2009 SPECIAL ELECTION (ASSEMBLY 51),2009
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=46,46,2009 SPECIAL ELECTION (ASSEMBLY 72),2009
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=15,15,2008 PRIMARY,2008
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=38,38,2008 RECALL (STATE SENATE 12),2008
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=37,37,2008 SPECIAL RUNOFF (ASSEMBLY 55),2008
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=16,16,2008 GENERAL,2008
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=32,32,2007 SPECIAL ELECTION (ASSEMBLY 55),2007
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=28,28,2007 SPECIAL ELECTION (ASSEMBLY 39),2007
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=8,8,2006 GENERAL,2006
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=24,24,2006 SPECIAL ELECTION (STATE SENATE 35),2006
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=27,27,2006 SPECIAL RUNOFF (STATE SENATE 35),2006
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=7,7,2006 PRIMARY,2006
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=19,19,2005 SPECIAL ELECTION (ASSEMBLY 53),2005
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=5,5,2004 PRIMARY,2004
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=6,6,2004 GENERAL,2004
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=14,14,2003 SPECIAL ELECTION (GOVERNOR),2003
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=4,4,2002 GENERAL,2002
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=39,39,2001 SPECIAL ELECTION (STATE SENATE 24),2001
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=3,3,2001 SPECIAL ELECTION (STATE SENATE 24),2001
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=13,13,2001 SPECIAL ELECTION (ASSEMBLY 49),2001
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=11,11,2001 SPECIAL RUNOFF (ASSEMBLY 65),2001
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=10,10,2001 SPECIAL ELECTION (ASSEMBLY 65),2001
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=2,2,2000 GENERAL,2000
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=1,1,2000 PRIMARY,2000
